"popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","country","electronic","jazz","pop","r_n_b","rock","classical","metal","other","world","latin","acoustic",".pred"
71,201933,"False",0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,3,0,0,0,1,0,0,0,0,0,0,0,1,36.4843806019496
82,198853,"False",0.618,0.443,2,-9.681,1,0.0526,0.469,0,0.0829,0.167,119.949,4,0,0,0,1,0,0,0,0,0,0,0,1,45.0919758068545
80,242946,"False",0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4,0,0,0,1,0,0,0,0,0,0,0,1,42.9476435805483
58,244986,"False",0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,0,0,0,1,0,0,0,0,0,0,0,1,42.2347695003184
0,273653,"False",0.633,0.429,4,-6.784,0,0.0381,0.0444,0,0.132,0.52,143.793,4,0,0,0,1,0,0,0,0,0,0,0,1,45.7970711287148
0,259558,"False",0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,0,0,0,1,0,0,0,0,0,0,0,1,44.3092579551935
0,247791,"False",0.501,0.0952,2,-12.931,1,0.054,0.963,1.58e-05,0.0915,0.316,138.016,4,0,0,0,1,0,0,0,0,0,0,0,1,44.9087533875328
0,206267,"False",0.606,0.326,10,-10.031,1,0.0294,0.841,0,0.139,0.414,91.626,4,0,0,0,1,0,0,0,0,0,0,0,1,45.4009005842574
60,241119,"False",0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,0,0,0,1,0,0,0,0,0,0,0,1,45.1734477479039
68,220239,"False",0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3,0,0,0,1,0,0,0,0,0,0,0,1,38.089439384875
52,171543,"False",0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4,0,0,0,1,0,0,0,0,0,0,0,1,45.2889773946798
66,124933,"False",0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,0,0,0,1,0,0,0,0,0,0,0,1,40.4229694450192
65,159600,"False",0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,0,0,0,1,0,0,0,0,0,0,0,1,43.7485126532813
70,221693,"False",0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,4,0,0,0,1,0,0,0,0,0,0,0,1,42.7858191865318
64,172213,"False",0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4,0,0,0,1,0,0,0,0,0,0,0,1,44.004997160132
61,164500,"False",0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,0,0,0,1,0,0,0,0,0,0,0,1,41.5806662603105
62,210612,"False",0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,4,0,0,0,1,0,0,0,0,0,0,0,1,41.0283676235373
0,154440,"False",0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,0,0,0,1,0,0,0,0,0,0,0,1,45.4656763586868
0,199040,"False",0.603,0.78,0,-5.531,1,0.0438,0.139,0,0.164,0.693,100.499,4,0,0,0,1,0,0,0,0,0,0,0,1,43.8415366920226
58,293040,"False",0.626,0.655,9,-6.69,1,0.0263,0.503,0,0.13,0.542,92.003,4,0,0,0,1,0,0,0,0,0,0,0,1,43.7003490558539
60,199019,"False",0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,0,0,0,1,0,0,0,0,0,0,0,1,45.6851348013264
61,181760,"False",0.66,0.407,7,-8.381,1,0.0571,0.236,0,0.109,0.257,133.86,4,0,0,0,1,0,0,0,0,0,0,0,1,46.7728985317635
47,112008,"False",0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,4,0,0,0,1,0,0,0,0,0,0,0,1,37.9407939116212
49,319000,"False",0.502,0.53,2,-9.573,1,0.0266,0.805,0.000738,0.0728,0.102,78.046,4,0,0,0,1,0,0,0,0,0,0,0,1,42.8901721662485
42,204480,"False",0.585,0.724,1,-6.513,0,0.0745,0.315,0.0681,0.0448,0.333,187.484,3,0,0,0,1,0,0,0,0,0,0,0,1,40.6921164104591
71,215173,"False",0.672,0.623,9,-5.699,1,0.0297,0.241,0,0.0848,0.617,92.018,4,0,0,0,1,0,0,0,0,0,0,0,1,45.2682590187327
22,296843,"False",0.616,0.81,2,-6.51,1,0.0668,0.369,0,0.107,0.79,97.994,4,0,0,0,1,0,0,0,0,0,0,0,1,43.3223852082237
20,221425,"False",0.626,0.926,2,-4.441,1,0.0477,0.0265,0,0.159,0.548,99.997,4,0,0,0,1,0,0,0,0,0,0,0,1,41.3868569260077
65,322080,"False",0.438,0.827,8,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,143.377,4,0,0,0,1,0,0,0,0,0,0,0,1,39.146729015149
53,111734,"False",0.639,0.201,7,-16.613,0,0.0526,0.907,2.26e-05,0.124,0.4,88.107,4,0,0,0,1,0,0,0,0,0,0,0,1,41.5661019640439
49,210760,"False",0.69,0.423,2,-9.194,0,0.0294,0.883,0.0123,0.111,0.59,130.121,4,0,0,0,1,0,0,0,0,0,0,0,1,40.5869402023003
51,255688,"False",0.599,0.349,1,-9.269,1,0.0301,0.819,0,0.112,0.444,147.913,4,0,0,0,1,0,0,0,0,0,0,0,1,46.0865177413941
53,181786,"False",0.519,0.264,0,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,4,0,0,0,1,0,0,0,0,0,0,0,1,41.3887785854623
66,244600,"False",0.643,0.569,7,-7.459,1,0.0276,0.544,2.17e-05,0.178,0.275,120.507,4,0,0,0,1,0,0,0,0,0,0,0,1,41.7979365006547
51,255600,"False",0.426,0.399,0,-8.447,1,0.034,0.761,0.00112,0.118,0.217,115.979,4,0,0,0,1,0,0,0,0,0,0,0,1,42.6083159123742
40,188695,"False",0.739,0.287,6,-14.007,0,0.059,0.969,0.961,0.111,0.557,80.64,4,0,0,0,1,0,0,0,0,0,0,0,1,37.9229620297833
