"track_id","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre",".pred"
"4LbWtBkN82ZRhz9jqzgrb3",56,188133,"False",0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,"acoustic",42.3822397269916
"0BUuuEvNa5T4lMaewyiudB",0,216386,"False",0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,"acoustic",38.889452036612
"1m5LC29RE52Bxy7hxvpOlL",0,234186,"False",0.593,0.455,6,-8.192,1,0.0388,0.366,0,0.0914,0.564,202.019,4,"acoustic",39.1096378226538
"3lvo0I8c2qBJDLZWqExDgC",0,247791,"False",0.501,0.0952,2,-12.931,1,0.054,0.963,1.58e-05,0.0915,0.316,138.016,4,"acoustic",31.0090871983914
"6sp6Vx3sv2l5qxPfbQkcyt",0,306794,"False",0.474,0.519,7,-5.291,1,0.0253,0.281,0,0.107,0.326,151.832,4,"acoustic",44.725259510102
"6nXIYClvJAfi6ujLiKqEq8",62,244320,"False",0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,"acoustic",47.8106824048191
"6owKuyHxUqidcAA6fPKSyy",64,222146,"False",0.705,0.347,2,-8.249,1,0.0301,0.674,0,0.12,0.36,80.057,4,"acoustic",43.6380338773179
"3e5yu9MkIvQx17mm7LF6KY",58,186584,"False",0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,4,"acoustic",44.0792160255952
"2D4BSm5Z8Hq5zYbSgJwEOh",67,250266,"False",0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4,"acoustic",41.4262079553098
"2E9viCx0hJKNKNThd2MdGQ",56,177500,"False",0.607,0.473,2,-8.555,1,0.034,0.712,0,0.66,0.54,119.698,4,"acoustic",42.1117914739833
"04JS6OitE9VGsIS3S94Osg",0,154440,"False",0.492,0.145,2,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,"acoustic",36.543153431177
"3Vnes7v746dYzBn0FJTZ1W",0,263866,"False",0.447,0.555,2,-6.018,1,0.0349,0.218,3.46e-06,0.124,0.33,117.888,3,"acoustic",33.5778776967331
"7DYsBLdOqz0z14tYWMt2Tn",0,177613,"False",0.661,0.937,4,-5.157,0,0.0979,0.322,1.04e-06,0.19,0.805,105.549,4,"acoustic",29.5077013509905
"3us8sod4dLbM9FiMiPiEY8",59,198626,"False",0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,"acoustic",35.7182282607233
"068qo0w1Ki0cjnFYOUhAm2",60,199019,"False",0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,"acoustic",45.1499272639127
"2RFt6ZWQbr9mPhsft9u9eX",61,181760,"False",0.66,0.407,7,-8.381,1,0.0571,0.236,0,0.109,0.257,133.86,4,"acoustic",44.5321709246811
"0VhZ5JYfqPojSYeGWnk4dL",55,204973,"False",0.479,0.154,2,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4,"acoustic",45.18398988309
"0ltIx8PLjtWoS9zn9PqsZW",51,322146,"False",0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4,"acoustic",41.3365863336271
"4qTHoIp62ngNDpUJwW3hZ7",57,131000,"False",0.402,0.197,5,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,100.044,3,"acoustic",38.8218696899274
"6gijbGNDNNJgT60Aj7UCyc",53,212386,"False",0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,4,"acoustic",44.8238498729086
"5pq4v03P5PxMcnCagg4S3Z",60,225165,"False",0.633,0.299,11,-7.798,1,0.0353,0.833,0,0.109,0.341,147.549,4,"acoustic",44.8703133054251
"5rwq6R0Uq0BngM3rdmCeNg",67,277000,"False",0.582,0.253,10,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,90.186,4,"acoustic",41.7889732529484
"2lxBZVbkiCXC1soks2RXwV",61,214240,"False",0.637,0.14,2,-11.472,1,0.0407,0.903,0,0.107,0.392,139.78,4,"acoustic",44.9926256588706
"6R6ux6KaKrhAg2EIB2krdU",61,228933,"False",0.564,0.864,4,-5.121,1,0.0341,0.0761,0,0.182,0.534,95.984,4,"acoustic",47.4854150044901
"4lxGVzcUaSF5HW5jtWnShV",60,151773,"False",0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,4,"acoustic",39.8760467954944
"3ixLIO5BsTmic0Pp27FaPY",20,221425,"False",0.626,0.926,2,-4.441,1,0.0477,0.0265,0,0.159,0.548,99.997,4,"acoustic",39.0040135531399
"14vExHBkh1prEAN94wZug8",18,289041,"False",0.595,0.805,8,-7.926,1,0.0543,0.0167,1.06e-05,0.0691,0.359,102.44,4,"acoustic",40.6043799754913
"0fzCtVM9D5UEwiLqcY8Ouq",65,322080,"False",0.438,0.827,8,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,143.377,4,"acoustic",37.0167525651847
"23Mcmg5O8rBKAOzxvrTjnD",49,210760,"False",0.69,0.423,2,-9.194,0,0.0294,0.883,0.0123,0.111,0.59,130.121,4,"acoustic",41.6055310558298
"00DuOxungwHwVUX2m37P0P",53,181786,"False",0.519,0.264,0,-11.171,1,0.0601,0.918,0.000253,0.237,0.192,140.354,4,"acoustic",37.4725417854385
"7njTGO45SkaBTNu35t2Yq0",47,234330,"False",0.654,0.821,7,-5.472,1,0.0264,0.00666,0.00299,0.228,0.613,111.958,4,"acoustic",41.243499839385
"6Cvti10W0AzmzG9D1tpuKp",55,176542,"False",0.505,0.21,11,-11.349,1,0.0295,0.907,0,0.11,0.323,80.721,4,"acoustic",43.6244131682724
"68Yc9ylRZZPtsuVgtrxcDj",50,149000,"False",0.595,0.646,0,-5.495,1,0.0327,0.11,0,0.258,0.563,120.049,4,"acoustic",39.7104620874282
"2LC523tbEPFpc1pnikbt5b",53,242439,"False",0.418,0.489,6,-8.373,0,0.0323,0.287,0.0288,0.42,0.398,72.891,4,"acoustic",39.4893606211491
"0EKBV6GybPtALXUgWqWrym",66,238493,"False",0.544,0.5,11,-8.253,1,0.026,0.0325,3.78e-06,0.109,0.177,93.621,4,"acoustic",42.5765084486504
"3g61xRaqII8q1wlQDzv550",62,216612,"False",0.483,0.506,9,-6.058,1,0.0347,0.394,0,0.0946,0.705,87.337,4,"acoustic",40.1419871873721
"0muntSMuAZzcwYBBMZj6sf",52,252466,"False",0.495,0.185,9,-13.824,1,0.0288,0.692,0.00403,0.109,0.196,101.89,4,"acoustic",43.2033718237388
"3FRARAKLpHw3er9ZaTwaHO",53,198786,"False",0.534,0.359,0,-9.311,1,0.0296,0.449,1.2e-05,0.331,0.267,131.804,4,"acoustic",40.6346629876912
"12niARgkwxGsklcEwh6GlG",66,203869,"False",0.606,0.349,4,-13.967,1,0.0319,0.764,0.306,0.112,0.156,80.071,4,"acoustic",44.8837633332601
"5wQci5VCUjdbKnRD61XYwu",60,261640,"False",0.577,0.446,6,-11.343,1,0.0313,0.554,0.0782,0.116,0.262,81.005,4,"acoustic",43.097296580063
"4VoJCUgNmnqG2qF0peDBkw",67,218800,"False",0.538,0.315,0,-10.057,1,0.0291,0.96,0.00596,0.0979,0.4,91.921,3,"acoustic",39.4340213695648
"1HqVCK9h4LiJ61aRrrKTAt",0,216626,"False",0.678,0.612,4,-9.764,1,0.0339,0.1,0.316,0.164,0.857,118.381,4,"acoustic",33.1683769044514
"4iObEYRE4FLm0D90gmZFef",50,221170,"False",0.538,0.162,5,-13.31,1,0.0299,0.847,0,0.114,0.366,94.981,4,"acoustic",42.4425822169597
"7BRwh1bemr9rFMDeTbcy5S",58,234135,"False",0.585,0.103,7,-12.682,1,0.0309,0.801,0,0.126,0.179,133.057,4,"acoustic",44.9143068691457
"3rzRo91l4htQvMXhsiECAX",30,173250,"False",0.578,0.763,2,-4.824,1,0.0998,0.0916,2.8e-06,0.0743,0.394,96.808,4,"acoustic",44.9044904481628
"13GvSZgg9LOs3M9uGbWsPE",45,192972,"False",0.436,0.239,7,-12.83,1,0.0282,0.861,8.48e-05,0.0902,0.137,73.761,4,"acoustic",41.7902566920344
"4x7AdVDV9IFWp8pg4LMz90",37,212864,"False",0.593,0.292,11,-12.755,1,0.0364,0.828,0,0.174,0.375,111.121,4,"acoustic",39.9737266275071
"5eNYumDY5PCXtKKJ0SWg2r",54,219466,"False",0.285,0.186,1,-12.729,1,0.0288,0.76,7.3e-05,0.104,0.203,153.848,4,"acoustic",38.9616914299295
"7g3ryXLtXExZ0OFCj17Ae1",58,244800,"False",0.601,0.439,8,-7.589,1,0.0269,0.0642,0,0.0942,0.275,99.976,4,"acoustic",44.9220806211846
"63bmIgH9sS6sX5Sc7MetGq",69,244067,"False",0.62,0.668,9,-5.719,1,0.0305,0.088,0,0.362,0.183,118.013,4,"acoustic",47.0669066695226
"3ZjSJv88euP3CdvTg07dZL",44,214738,"False",0.394,0.281,9,-11.12,1,0.0414,0.826,0,0.0854,0.485,90.044,4,"acoustic",38.0206594954398
"6huS9u0BDfeQHq0lObNLPl",64,200706,"False",0.761,0.311,5,-10.597,1,0.0692,0.647,0,0.15,0.553,109.891,4,"acoustic",38.5764963466537
"34p2uL1CvmaHn3uLfOKt8d",51,224847,"False",0.466,0.161,7,-14.498,1,0.0492,0.979,0.000238,0.231,0.171,139.167,3,"acoustic",31.8496217325737
"4PuUa8e5s7P3Zv1IdCGIsa",65,296386,"False",0.522,0.256,10,-11.216,1,0.0258,0.86,0.000806,0.142,0.13,76.349,4,"acoustic",39.995178413797
