mtry,.metric,.estimator,.estimate,.config
1,rmse,standard,18.431234034872023,Preprocessor1_Model1
1,rsq,standard,0.18718765609270047,Preprocessor1_Model1
7,rmse,standard,16.92455430735889,Preprocessor1_Model2
7,rsq,standard,0.2529620714490521,Preprocessor1_Model2
14,rmse,standard,16.922837974262098,Preprocessor1_Model3
14,rsq,standard,0.2496498677390063,Preprocessor1_Model3
20,rmse,standard,16.948679777966582,Preprocessor1_Model4
20,rsq,standard,0.24592564061779912,Preprocessor1_Model4
27,rmse,standard,16.991349307591648,Preprocessor1_Model5
27,rsq,standard,0.24083597269839488,Preprocessor1_Model5
