"mtry",".metric",".estimator",".estimate",".config"
1,"rmse","standard",20.1247562603059,"Preprocessor1_Model1"
1,"rsq","standard",0.277981951687739,"Preprocessor1_Model1"
5,"rmse","standard",17.1931522635235,"Preprocessor1_Model2"
5,"rsq","standard",0.3530893765809,"Preprocessor1_Model2"
9,"rmse","standard",16.8386444724086,"Preprocessor1_Model3"
9,"rsq","standard",0.371724976733459,"Preprocessor1_Model3"
13,"rmse","standard",16.7519382440319,"Preprocessor1_Model4"
13,"rsq","standard",0.374036927853445,"Preprocessor1_Model4"
17,"rmse","standard",16.7077103333212,"Preprocessor1_Model5"
17,"rsq","standard",0.375666340704827,"Preprocessor1_Model5"
